entire,campus,number,class_,seperate,major,class_name,prof,time,place
문과대학,서울,COLA200,1,전공선택,문과대학,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)",정태헌 예대열,3(3),화(6-8) 서관 223호
문과대학,서울,SOCI295,0,전공필수,사회학과,사회통계,김세현,3(3),월(1) 서관 215호 수(1) 서관 215호
문과대학,서울,SOCI315,0,전공선택,사회학과,사회발전론,김경필,3(3),월(3-4) 미디어관 602호 수(3-4) 미디어관 602호
문과대학,서울,SOCI321,0,전공선택,사회학과,데이터사이언스와사회학(영강),신은경,3(3),화(6) 서관 317호 목(6) 서관 317호
문과대학,서울,SOCI343,0,전공선택,사회학과,비교사회학,이향아,3(3),금(1-2) 서관 307호
문과대학,서울,SOCI347,0,전공선택,사회학과,한국의사회와문화(영강),김철규,3(3),월(7-9) 서관 307호
문과대학,서울,SOCI348,0,전공선택,사회학과,집합행동론,홍성태,3(3),월(6) 수(6) 
문과대학,서울,SOCI358,0,전공선택,사회학과,직업과사회,이종선,3(3),월(5) 교양관 304호 수(5) 교양관 304호
문과대학,서울,SOCI360,0,전공선택,사회학과,과학기술사회학,김동광,3(3),화(5) 정경관 506호 목(5) 정경관 506호
문과대학,서울,SOCI362,0,전공선택,사회학과,종교사회학,박수호,3(3),금(3-5) 교양관 202호
문과대학,서울,SPAN352,0,전공선택,서어서문학과,스페인어교수법(외국어강의),양성혜,3(3),화(6) 교양관 414호 목(6) 교양관 414호
문과대학,서울,SPAN356,0,전공선택,서어서문학과,스페인어권사회의이해,김희순,3(3),월(5) 법학관구관 207호 수(5) 법학관구관 207호
문과대학,서울,SPAN361,0,전공선택,서어서문학과,스페인희곡,김선욱,3(3),월(1) 서관 314A호 수(1) 서관 314A호
문과대학,서울,SPAN364,0,전공선택,서어서문학과,스페인문학비평,장재원,3(3),화(6) 국제관 301호 목(6) 서관 223호
