문과대학,서울,CHIN171,3,학문의기초,중어중문학과,중국어I(외국어강의),김주희,3(3),월(7-8) 서관 403호 수(7-8) 서관 403호
문과대학,서울,CHIN171,4,학문의기초,중어중문학과,중국어I(외국어강의),윤순일,3(3),화(6) 교양관 412호 목(6) 교양관 412호
생명과학대학,서울,LESE153,0,학문의기초,식품자원경제학과,시장과경제(영강) [타과제한(식품자원경제학과 소속학생 수강 가능)],임송수,3(3),월(2) 생명과학관(동관)101호 수(2) 생명과학관(동관)101호
정경대학,서울,PAPP151,2,학문의기초,행정학과,행정학원론,심동철,3(3),화(2) 교양관 110호 목(2) 교양관 110호
공과대학,서울,ENGY103,0,학문의기초,융합에너지공학과,에너지기술사 과학도서관 B119호,박주영 전용석,3(3),금(5-6) 창의관 117호
문과대학,서울,SPAN171,3,학문의기초,서어서문학과,스페인어I(외국어강의),조혜진,3(3),화(5) 교양관 315호 목(5) 교양관 315호
문과대학,서울,SPAN172,0,학문의기초,서어서문학과,스페인어II(외국어강의),양성혜,3(3),화(5) 교양관 313호 목(5) 교양관 313호
문과대학,서울,FRAN172,0,학문의기초,불어불문학과,프랑스어II(외국어강의),Jeanmaire Guillaume,3(3),월(1) 교양관 302호 수(1) 교양관 302호
경영대학,서울,BUSS152,2,학문의기초,경영학과,회계학원리(영강),배진한,3(3),월(2) 현차관 301호 수(2) 현차관 301호
경영대학,서울,BUSS152,3,학문의기초,경영학과,회계학원리(영강),한승수,3(3),화(5) 현차관 303호 목(5) 현차관 303호
경영대학,서울,BUSS152,4,학문의기초,경영학과,회계학원리(영강) *학과제한없음,유지송,3(3),월(5) L-P 216호 수(5) L-P 216호
경영대학,서울,BUSS152,5,학문의기초,경영학과,회계학원리(영강) *학과제한없음,유지송,3(3),월(6) L-P 216호 수(6) L-P 216호
경영대학,서울,BUSS152,6,학문의기초,경영학과,회계학원리(영강) *공과대학 학생 수강신청 가능,김재영,3(3),월(1) 신공학관B101호 수(1) 신공학관B101호
경영대학,서울,BUSS154,1,학문의기초,경영학과,경영통계(영강),박경삼,3(3),화(5) L-P 531호 목(5) L-P 531호
경영대학,서울,BUSS154,2,학문의기초,경영학과,경영통계(영강),이선민,3(3),월(1) 현차관 B206호 수(1) 현차관 B206호
경영대학,서울,BUSS154,3,학문의기초,경영학과,경영통계(영강),이현석,3(3),화(6) 현차관403 목(6) 현차관403
경영대학,서울,BUSS154,4,학문의기초,경영학과,경영통계(영강),SONG JUN MYUNG,3(3),화(7-8) 현차관 B205호 목(7-8) 현차관 B205호
경영대학,서울,BUSS154,5,학문의기초,경영학과,경영통계(영강),임희주,3(3),월(6) L-P 108호 수(6) L-P 108호
문과대학,서울,RUSS171,2,학문의기초,노어노문학과,러시아어I(외국어강의) 노문과21학번신입생끝자리짝수학번 우선수강,이남경,3(3),수(3-4) 교양관 104호 금(3-4) 교양관 104호
문과대학,서울,GERM171,2,학문의기초,독어독문학과,독일어I(외국어강의) 독문과21학번신입생끝자리짝수학번,전지선,3(3),수(5) 서관 225호 금(5) 서관 225호
공과대학,서울,EGRN151,1,학문의기초,공과대학,컴퓨터언어및실습(영강),문두환,3(4),수(7-8) 창의관 106호 금(7-8) 창의관 101호
공과대학,서울,EGRN151,2,학문의기초,공과대학,컴퓨터언어및실습,최회련,3(4),목(1-3) 창의관 101호
디자인조형학부,서울,ARDE125,0,학문의기초,디자인조형학부,현대아시아미술개론,조은정,3(3),월(1-2) 교양관 412호
디자인조형학부,서울,ARDE158,0,학문의기초,디자인조형학부,디자인론,최재희,3(3),화(2) 미디어관 901호 목(2) 미디어관 901호
디자인조형학부,서울,ARDE162,0,학문의기초,디자인조형학부,서양미술사,조은정,3(3),수(1-2) 미디어관 901호
디자인조형학부,서울,ARDE183,0,학문의기초,디자인조형학부,한국미술감상과비평,송희경,3(3),월(1-2) 국제관 332호
경영대학,서울,BUSS154,6,학문의기초,경영학과,경영통계(영강),이남경,3(3),월(7-8) 현차관 B205호 수(7-8) 현차관 B205호
경영대학,서울,BUSS164,1,학문의기초,경영학과,경영과사회,전재욱,3(3),화(1) L-P 530호 목(1) L-P 530호
경영대학,서울,BUSS164,2,학문의기초,경영학과,경영과사회,유용근,3(3),월(1) L-P 530호 수(1) L-P 530호
경영대학,서울,BUSS164,3,학문의기초,경영학과,경영과사회(영강),윤성아,3(3),화(1) L-P 208호 목(1) L-P 208호
