Column1,Unnamed: 0,entire,campus,number,class_,seperate,major,class_name,prof,time,place,day1,day2,place1,place2,place1_지번,place2_지번
1762,1762,선택교양(기초과학),서울,LIBS153,30,교양,생명과학부,일반생물학실험I 2021 보건환경융합과학부(281~300),김준,1(3),수(7-9) 하나과학관 지하 222호,수(7-9),,하나과학관,미정,서울 성북구 안암동5가 126-16,미정
1763,1763,자유정의진리,서울,GELI001,AK,교양,교양교육원,자유정의진리Ⅰ 강의실 : 과도관 B119호,정다영,3(3),화(6)  목(6),화(6),목(6),미정,미정,미정,미정
1764,1764,자유정의진리,서울,GELI001,AL,교양,교양교육원,자유정의진리Ⅰ 강의실 : 과도관 B119호,정다영,3(3),화(7-8)  목(7-8),화(7-8),목(7-8),미정,미정,미정,미정
1765,1765,자유정의진리,서울,GELI001,BA,교양,교양교육원,자유정의진리Ⅰ 강의실 : 과도관 B120호,김종만,3(3),월(1)  수(1),월(1),수(1),미정,미정,미정,미정
1766,1766,자유정의진리,서울,GELI001,BB,교양,교양교육원,자유정의진리Ⅰ 강의실 : 과도관 B120호,김종만,3(3),월(2)  수(2),월(2),수(2),미정,미정,미정,미정
1767,1767,자유정의진리,서울,GELI001,BC,교양,교양교육원,자유정의진리Ⅰ 강의실 : 과도관 B120호,최보경,3(3),월(3-4)  수(3-4),월(3-4),수(3-4),미정,미정,미정,미정
1768,1768,자유정의진리,서울,GELI001,BD,교양,교양교육원,자유정의진리Ⅰ 강의실 : 과도관 B120호,최보경,3(3),월(5)  수(5),월(5),수(5),미정,미정,미정,미정
1769,1769,자유정의진리,서울,GELI001,BE,교양,교양교육원,자유정의진리Ⅰ 강의실 : 과도관 B120호,김영건,3(3),월(6)  수(6),월(6),수(6),미정,미정,미정,미정
1770,1770,자유정의진리,서울,GELI001,BF,교양,교양교육원,자유정의진리Ⅰ 강의실 : 과도관 B120호,김영건,3(3),월(7-8)  수(7-8),월(7-8),수(7-8),미정,미정,미정,미정
1771,1771,자유정의진리,서울,GELI001,BG,교양,교양교육원,자유정의진리Ⅰ 강의실 : 과도관 B120호,김해인,3(3),화(1)  목(1),화(1),목(1),미정,미정,미정,미정
1772,1772,자유정의진리,서울,GELI001,BH,교양,교양교육원,자유정의진리Ⅰ 강의실 : 과도관 B120호,김해인,3(3),화(2)  목(2),화(2),목(2),미정,미정,미정,미정
1773,1773,ACADEMIC ENGLISH,서울,IFLS011,D5,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/사범대학, 디자인조형학부(2021학번 신입생 우선 신청)
*2~4학년 미이수자 및 재수강자-수강신청 정정기간 중 전체 학년 기간에 수강신청 가능 ",잼버졸탄폴,1(2),화(6) 국제관 408B호 목(6) 국제관 408B호,화(6),목(6),국제관,국제관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1774,1774,ACADEMIC ENGLISH,서울,IFLS011,D6,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/정보대학-컴퓨터학과, 데이터과학과(2021학번 신입생 우선 신청)",Zoe Ksan Rubadeau,1(2),월(5) 교양관 203호 수(5) 교양관 203호,월(5),수(5),교양관,교양관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1775,1775,ACADEMIC ENGLISH,서울,IFLS011,D7,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/정보대학-컴퓨터학과, 데이터과학과(2021학번 신입생 우선 신청)",Zoe Ksan Rubadeau,1(2),월(6) 국제관 511호 수(6) 국제관 511호,월(6),수(6),국제관,국제관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1776,1776,ACADEMIC ENGLISH,서울,IFLS011,D8,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/정보대학-컴퓨터학과, 데이터과학과(2021학번 신입생 우선 신청)",Zoe Ksan Rubadeau,1(2),화(2) 국제관 408B호 목(2) 국제관 408B호,화(2),목(2),국제관,국제관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1777,1777,ACADEMIC ENGLISH,서울,IFLS011,D9,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/정보대학-컴퓨터학과, 데이터과학과(2021학번 신입생 우선 신청)",Zoe Ksan Rubadeau,1(2),화(3) 국제관 408B호 목(3) 국제관 408B호,화(3),목(3),국제관,국제관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1778,1778,ACADEMIC ENGLISH,서울,IFLS011,E1,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/정보대학-컴퓨터학과, 데이터과학과(2021학번 신입생 우선 신청)",Zoe Ksan Rubadeau,1(2),화(4) 국제관 408B호 목(4) 국제관 408B호,화(4),목(4),국제관,국제관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1779,1779,ACADEMIC ENGLISH,서울,IFLS011,E2,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/정보대학-컴퓨터학과, 데이터과학과(2021학번 신입생 우선 신청)",Zoe Ksan Rubadeau,1(2),월(4) 국제관 511B호 수(4) 국제관 511B호,월(4),수(4),국제관,국제관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1780,1780,ACADEMIC ENGLISH,서울,IFLS011,E3,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부, 스마트보안학부 (2021학번 신입생 우선 신청)
*2~4학년 미이수자 및 재수강자-수강신청 정정기간 중 전체 학년 기간에 수강신청 가능 ",Youn-Soo Chang,1(2),화(4) 국제관 307A호 목(4) 국제관 307A호,화(4),목(4),국제관,국제관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1781,1781,ACADEMIC ENGLISH,서울,IFLS011,E4,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부, 스마트보안학부 (2021학번 신입생 우선 신청)
*2~4학년 미이수자 및 재수강자-수강신청 정정기간 중 전체 학년 기간에 수강신청 가능 ",THOMAS COURCHAINE,1(2),월(4) 국제관 511A호 수(4) 국제관 511A호,월(4),수(4),국제관,국제관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1782,1782,ACADEMIC ENGLISH,서울,IFLS011,G1,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 체육특기자반,Hudson Lim,1(2),월(1-2) 국제관 312호,월(1-2),,국제관,미정,서울 성북구 안암동5가 1-2,미정
1783,1783,문과대학,서울,LBNC201,0,전공필수,LB&C융합전공,"언어,뇌,컴퓨터의이해",홍정하,3(3),화(6) 교육관 201호 목(6) 교육관 201호,화(6),목(6),운초우선교육관,운초우선교육관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
1784,1784,문과대학,서울,EMLA214,0,전공선택,EML융합전공,기초스페인어,조혜진,3(3),월(7-8) 서관 132호 수(7-8) 서관 132호,월(7-8),수(7-8),서관,서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1785,1785,문과대학,서울,GLEA201,0,전공필수,GLEAC융합전공,동아시아학의이해,김준연 박대재이용욱 박상수한정선 김수미김영근 편주현최귀묵 양원석,3(3),금(5-6) 서관 401호,금(5-6),,서관,미정,서울 성북구 안암동5가 1-2,미정
1786,1786,문과대학,서울,COLA200,1,전공선택,문과대학,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)",정태헌 예대열,3(3),화(6-8) 서관 223호,화(6-8),,서관,미정,서울 성북구 안암동5가 1-2,미정
1787,1787,문과대학,서울,SOCI295,0,전공필수,사회학과,사회통계,김세현,3(3),월(1) 서관 215호 수(1) 서관 215호,월(1),수(1),서관,서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1788,1788,문과대학,서울,SOCI315,0,전공선택,사회학과,사회발전론,김경필,3(3),월(3-4) 미디어관 602호 수(3-4) 미디어관 602호,월(3-4),수(3-4),미디어관,미디어관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1789,1789,문과대학,서울,SOCI321,0,전공선택,사회학과,데이터사이언스와사회학(영강),신은경,3(3),화(6) 서관 317호 목(6) 서관 317호,화(6),목(6),서관,서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1790,1790,문과대학,서울,SOCI343,0,전공선택,사회학과,비교사회학,이향아,3(3),금(1-2) 서관 307호,금(1-2),,서관,미정,서울 성북구 안암동5가 1-2,미정
1791,1791,문과대학,서울,SOCI347,0,전공선택,사회학과,한국의사회와문화(영강),김철규,3(3),월(7-9) 서관 307호,월(7-9),,서관,미정,서울 성북구 안암동5가 1-2,미정
1792,1792,문과대학,서울,SOCI348,0,전공선택,사회학과,집합행동론,홍성태,3(3),월(6) 수(6) ,월(6),수(6),미정,미정,미정,미정
1793,1793,문과대학,서울,SOCI358,0,전공선택,사회학과,직업과사회,이종선,3(3),월(5) 교양관 304호 수(5) 교양관 304호,월(5),수(5),교양관,교양관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1794,1794,문과대학,서울,SOCI360,0,전공선택,사회학과,과학기술사회학,김동광,3(3),화(5) 정경관 506호 목(5) 정경관 506호,화(5),목(5),정경관,정경관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1795,1795,문과대학,서울,SOCI362,0,전공선택,사회학과,종교사회학,박수호,3(3),금(3-5) 교양관 202호,금(3-5),,교양관,미정,서울 성북구 안암동5가 1-2,미정
