entire,campus,number,class_,seperate,major,class_name,prof,time,place
ACADEMIC ENGLISH,서울,IFLS011,63,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/문과대학(사학, 사회학, 심리, 언어, 철학, 한국사학, 한문학) (2020학번 신입생 우선 신청)",Russell Mason,1(2),월(5) 국제관 112호 수(5) 국제관 112호
ACADEMIC ENGLISH,서울,IFLS011,64,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/문과대학(사학, 사회학, 심리, 언어, 철학, 한국사학, 한문학) (2020학번 신입생 우선 신청)",Russell Mason,1(2),월(4) 국제관 112호 수(4) 국제관 112호
1학년세미나,서울,GEKS005,B8,교양,교양교육원,1학년세미나Ⅰ 경영학과,유시진,1(1),미정
1학년세미나,서울,GEKS005,B9,교양,교양교육원,1학년세미나Ⅰ 경영학과,유용근,1(1),미정
1학년세미나,서울,GEKS005,BA,교양,교양교육원,1학년세미나Ⅰ 경영학과,유원상,1(1),미정
1학년세미나,서울,GEKS005,BB,교양,교양교육원,1학년세미나Ⅰ 경영학과,윤성수,1(1),미정
1학년세미나,서울,GEKS005,BC,교양,교양교육원,1학년세미나Ⅰ 경영학과,윤성아,1(1),미정
1학년세미나,서울,GEKS005,BD,교양,교양교육원,1학년세미나Ⅰ 경영학과,이건웅,1(1),미정
1학년세미나,서울,GEKS005,BE,교양,교양교육원,1학년세미나Ⅰ 경영학과,이동섭,1(1),미정
1학년세미나,서울,GEKS005,BF,교양,교양교육원,1학년세미나Ⅰ 경영학과,이동원,1(1),미정
1학년세미나,서울,GEKS005,BG,교양,교양교육원,1학년세미나Ⅰ 경영학과,이재남,1(1),미정
1학년세미나,서울,GEKS005,BH,교양,교양교육원,1학년세미나Ⅰ 경영학과,이종호,1(1),미정
전공관련교양,서울,CHEM153,40,교양,이과대학,일반화학실험Ⅰ 바이오시스템의과학부 '20학번,이주용,1(3),월(7-9) 이학관별관 307호
전공관련교양,서울,CHEM153,41,교양,이과대학,일반화학실험Ⅰ 바이오시스템의과학부 '20학번,송운영,1(3),월(7-9) 이학관별관 309호
전공관련교양,서울,CHEM153,42,교양,이과대학,일반화학실험Ⅰ 바이오시스템의과학부 '20학번,박민진,1(3),월(7-9) 이학관별관 302호
전공관련교양,서울,CHEM153,43,교양,이과대학,일반화학실험Ⅰ 바이오시스템의과학부 '20학번,박찬종,1(3),월(7-9) 이학관별관 305호
전공관련교양,서울,CHEM153,44,교양,이과대학,일반화학실험Ⅰ 보건환경융합과학부 '20학번,심재호,1(3),금(2-4) 이학관별관 302호
전공관련교양,서울,CHEM153,45,교양,이과대학,일반화학실험Ⅰ 보건환경융합과학부 '20학번,전민아,1(3),금(2-4) 이학관별관 305호
전공관련교양,서울,CHEM153,46,교양,이과대학,일반화학실험Ⅰ 보건환경융합과학부 '20학번,손수빈,1(3),금(2-4) 이학관별관 307호
전공관련교양,서울,CHEM153,47,교양,이과대학,일반화학실험Ⅰ 보건환경융합과학부 '20학번,정상민,1(3),금(2-4) 이학관별관 309호
전공관련교양,서울,CHEM153,48,교양,이과대학,일반화학실험Ⅰ 보건환경융합과학부 '20학번,권혁준,1(3),금(2-4) 이학관별관605
전공관련교양,서울,CHEM153,49,교양,이과대학,일반화학실험Ⅰ 보건환경융합과학부 '20학번,박소현,1(3),금(2-4) 이학관별관607
전공관련교양,서울,CHEM153,50,교양,이과대학,일반화학실험Ⅰ 재수강반,김형석,1(3),수(2-4) 이학관별관607
자유정의진리,서울,GELI001,5K,교양,교양교육원,자유정의진리Ⅰ  ,김숙향,3(3),화(6)  목(6)
자유정의진리,서울,GELI001,5L,교양,교양교육원,자유정의진리Ⅰ  ,박진영,3(3),화(7-8)  목(7-8)
자유정의진리,서울,GELI001,6A,교양,교양교육원,자유정의진리Ⅰ  ,허연실,3(3),월(1)  수(1)
자유정의진리,서울,GELI001,6B,교양,교양교육원,자유정의진리Ⅰ  ,허연실,3(3),월(2)  수(2)
자유정의진리,서울,GELI001,6C,교양,교양교육원,자유정의진리Ⅰ  ,류혜원,3(3),월(3-4)  수(3-4)
자유정의진리,서울,GELI001,6D,교양,교양교육원,자유정의진리Ⅰ  ,공민석,3(3),월(5)  수(5)
