id,college,campus,code,class_num,seperate,major,class_name,prof,grade,day_place,day_1,place_1,day_2,place_2
0,간호대학,서울,NRSG217,0,전공선택,간호학과,간호학개론,송준아,1(1),화(7) 우정간호학관 401호,화(7),우정간호학관,,
1,간호대학,서울,NRSG220,0,전공선택,간호학과,"건강과식이(영강) 10:00~12:00
*신임교수님 강의예정",김경해,2(2),화(1-2) 우정간호학관 101호,화(1-2),우정간호학관,,
2,간호대학,서울,NRSG233,0,전공선택,간호학과,간호정보학및실습 10시 강의 시작,강지원,2(2),금(1-2) 우정간호학관 101호,금(1-2),우정간호학관,,
3,간호대학,서울,NRSG234,0,전공선택,간호학과,간호연구방법론 화 14:45~16:05 / 목 5-6교시,정지연,2(2),화(6) 우정간호학관 401호 목(5-6) 우정간호학관 401호,화(6),우정간호학관,목(5-6),우정간호학관
4,간호대학,서울,NRSG241,0,전공선택,간호학과,기초간호과학II,서은혜,2(2),수(1-2) 우정간호학관 101호,수(1-2),우정간호학관,,
5,간호대학,서울,NRSG243,0,전공선택,간호학과,기초간호과학III,서은혜,3(3),화(5-6) 우정간호학관 101호,화(5-6),우정간호학관,,
6,세계의문화,서울,GEFC076,0,교양,교양교육원,유라시아한인문화탐방,김진규,3(3),화(5) 교양관 202호 목(5) 교양관 202호,화(5),교양관,목(5),교양관
7,선택교양,서울,CHIN105,0,교양,중어중문학과,중국문학산책,안예선,3(3),화(7-8) 서관 215호 목(7-8) 서관 215호,화(7-8),서관,목(7-8),서관
8,사회의이해,서울,GESO068,0,교양,교양교육원,현대식품생산과소비의사회학,김철규,3(3),화(2) 교양관 309호 목(2) 교양관 309호,화(2),교양관,목(2),교양관
9,문학과예술,서울,GELA050,0,교양,교양교육원,한국현대시산책,고형진,3(3),화(6) 교육관 204호 목(6) 교육관 204호,화(6),운초우선교육관,목(6),운초우선교육관
10,글쓰기,서울,GEWR001,1,교양,교양교육원,글쓰기 2020학번 문과대(어문계열),김연수,2(3),월(1) 교양관 303호 수(1) 교양관 303호,월(1),교양관,수(1),교양관
11,간호대학,서울,NRSG245,0,전공선택,간호학과,병원미생물학,이창규,1(1),화(4) 우정간호학관 101호,화(4),우정간호학관,,
12,간호대학,서울,NRSG251,1,전공선택,간호학과,기초간호과학실습II,한아영,1(2),수(3-4) 우정간호학관 101호,수(3-4),우정간호학관,,
13,간호대학,서울,NRSG251,2,전공선택,간호학과,기초간호과학실습II,한아영,1(2),수(5-6) 우정간호학관 101호,수(5-6),우정간호학관,,
14,간호대학,서울,NRSG251,3,전공선택,간호학과,기초간호과학실습II,한아영,1(2),수(7-8) 우정간호학관 101호,수(7-8),우정간호학관,,
15,간호대학,서울,NRSG253,0,전공선택,간호학과,간호통계,서문경애,2(2),목(1-2) 우정간호학관 101호,목(1-2),우정간호학관,,
16,간호대학,서울,NRSG261,0,전공필수,간호학과,기본간호학I,장성옥,2(2),목(3-4) 우정간호학관 101호,목(3-4),우정간호학관,,
17,간호대학,서울,NRSG265,1,전공선택,간호학과,기본간호학실습I,장성옥,1(2),목(5-6) 우정간호학관 101호,목(5-6),우정간호학관,,
18,세계의문화,서울,GEFC091,0,교양,교양교육원,종교와영화,박종천,3(3),월(2) 교양관 602호 수(2) 교양관 602호,월(2),교양관,수(2),교양관
19,세계의문화,서울,GEFC098,0,교양,교양교육원,동아시아의공연예술과실크로드의문화교류,전경욱,3(3),화(6) 교양관 210호 목(6) 교양관 210호,화(6),교양관,목(6),교양관
20,세계의문화,서울,GEFC099,0,교양,교양교육원,일본의문화콘텐츠와전통문화,엄인경,3(3),화(1) 교양관 202호 목(1) 교양관 202호,화(1),교양관,목(1),교양관
21,세계의문화,서울,GEFC100,0,교양,교양교육원,번역을통해본근대동아시아문화의형성,김효순,3(3),화(6) 교양관 204호 목(6) 교양관 204호,화(6),교양관,목(6),교양관
22,선택교양,서울,CHIN120,0,교양,중어중문학과,중국어번역연습,김영민,3(3),월(7-8) 서관 225호 수(7-8) 서관 225호,월(7-8),서관,수(7-8),서관
23,선택교양,서울,COSE157,0,교양,컴퓨터학과,3D콘텐츠 이론 및 활용,유길상,3(4),월(2-3) 정보통신관 B101호 수(2) 정보통신관 B101호,월(2-3),우정정보관,수(2),우정정보관
24,선택교양,서울,ECON110,1,교양,경제학과,경제학개론,최성환,3(3),금(1-2) 정경관 205호,금(1-2),정경관,,
25,선택교양,서울,ECON110,2,교양,경제학과,경제학개론,최성환,3(3),금(5-6) 정경관 101호,금(5-6),정경관,,
26,선택교양,서울,EGRN203,0,교양,공과대학,과학기술과지식재산,함병현,3(3),금(1-2) 공학관 164호,금(1-2),공학관,,
27,선택교양,서울,ENGL101,0,교양,영어영문학과,영미단편강독,김동욱,3(3),화(6) 교양관 606호 목(6) 교양관 606호,화(6),교양관,목(6),교양관
28,선택교양,서울,FRAN133,0,교양,불어불문학과,프랑스문화탐색,조주은,3(3),월(3-4) 국제관 322호 수(3-4) 국제관 322호,월(3-4),국제관,수(3-4),국제관
29,사회의이해,서울,GESO101,0,교양,교양교육원,범죄와사회  ,홍영기,3(3),월(6) 법학관신관 501호 수(6) 법학관신관 501호,월(6),법학관신관,수(6),법학관신관
30,사회의이해,서울,GESO108,0,교양,교양교육원,일본과동아시아,서승원,3(3),월(6) 교양관 404호 수(6) 교양관 404호,월(6),교양관,수(6),교양관
31,사회의이해,서울,GESO120,0,교양,교양교육원,동아시아공동체,박홍규,3(3),월(6) 교양관 311호 수(6) 교양관 311호,월(6),교양관,수(6),교양관
32,사회의이해,서울,GESO143,0,교양,교양교육원,중국의대외정책과동아시아국제관계,이정남,3(3),화(5) 교양관 605호 목(5) 교양관 605호,화(5),교양관,목(5),교양관
33,사회의이해,서울,GESO146,0,교양,교양교육원,글로벌시대와세계시민의로고스,김은기,3(3),금(1-2) 교양관 204호,금(1-2),교양관,,
34,사회의이해,서울,GESO153,0,교양,교양교육원,스트레스관리와감정조절(영강),정지선,3(3),월(5) 교양관 204호 수(5) 교양관 204호,월(5),교양관,수(5),교양관
35,문학과예술,서울,GELA061,0,교양,교양교육원,중남미문학의이해,송상기,3(3),화(2) 교양관 311호 목(2) 교양관 311호,화(2),교양관,목(2),교양관
36,문학과예술,서울,GELA077,0,교양,교양교육원,어떻게영화를읽을것인가,편장완,3(3),금(5-6) 본교대강당101,금(5-6),본교대강당,,
37,문학과예술,서울,GELA107,0,교양,교양교육원,한국고전문학과배경사상,장효현,3(3),월(2) 교양관 209호 수(2) 교양관 209호,월(2),교양관,수(2),교양관
38,문학과예술,서울,GELA131,0,교양,교양교육원,한국의젊은시인들,오형엽,3(3),화(2) 교양관 210호 목(2) 교양관 210호,화(2),교양관,목(2),교양관
39,문학과예술,서울,GELA132,0,교양,교양교육원,현대음악의이해,류경선,3(3),월(5) 교양관 606호 수(5) 교양관 606호,월(5),교양관,수(5),교양관
40,문학과예술,서울,GELA133,0,교양,교양교육원,한시영화와엮어읽기  ,임준철,3(3),화(2) 교양관 304호 목(2) 교양관 304호,화(2),교양관,목(2),교양관
41,문학과예술,서울,GELA134,0,교양,교양교육원,클래식음악의이해와감상,류경선,3(3),월(1) 교양관 606호 수(1) 교양관 606호,월(1),교양관,수(1),교양관
42,문학과예술,서울,GELA138,0,교양,교양교육원,사진과탈근대사회,김승현,3(3),월(5) 교양관 304호 수(5) 교양관 304호,월(5),교양관,수(5),교양관
43,글쓰기,서울,GEWR001,2,교양,교양교육원,글쓰기 2020학번 문과대(어문계열),황정현,2(3),월(2) 교양관 303호 수(2) 교양관 303호,월(2),교양관,수(2),교양관
44,글쓰기,서울,GEWR001,3,교양,교양교육원,글쓰기 2020학번 문과대(어문계열),김혜진,2(3),월(2) 교양관 305호 수(2) 교양관 305호,월(2),교양관,수(2),교양관
45,글쓰기,서울,GEWR001,4,교양,교양교육원,글쓰기 2020학번 문과대(어문계열),김연수,2(3),월(3-4) 교양관 303호 수(3-4) 교양관 303호,월(3-4),교양관,수(3-4),교양관
46,글쓰기,서울,GEWR001,5,교양,교양교육원,글쓰기 2020학번 문과대(어문계열),김동희,2(3),월(5) 교양관 303호 수(5) 교양관 303호,월(5),교양관,수(5),교양관
47,글쓰기,서울,GEWR001,6,교양,교양교육원,글쓰기 2020학번 문과대(어문계열),정경미,2(3),월(6) 교양관 303호 수(6) 교양관 303호,월(6),교양관,수(6),교양관
48,글쓰기,서울,GEWR001,7,교양,교양교육원,글쓰기 2020학번 문과대(어문계열),류경동,2(3),화(1) 교양관 303호 목(1) 교양관 303호,화(1),교양관,목(1),교양관
49,글쓰기,서울,GEWR001,8,교양,교양교육원,글쓰기 2020학번 문과대(어문계열),류경동,2(3),화(2) 교양관 405호 목(2) 교양관 405호,화(2),교양관,목(2),교양관
50,글쓰기,서울,GEWR001,9,교양,교양교육원,글쓰기 2020학번 문과대(어문계열),조은숙,2(3),화(2) 교양관 306호 목(2) 교양관 306호,화(2),교양관,목(2),교양관
51,간호대학,서울,NRSG265,2,전공선택,간호학과,기본간호학실습I,박원희,1(2),금(3-4) 우정간호학관 101호,금(3-4),우정간호학관,,
52,간호대학,서울,NRSG265,3,전공선택,간호학과,기본간호학실습I,박원희,1(2),금(6-7) 우정간호학관 101호,금(6-7),우정간호학관,,
53,간호대학,서울,NRSG272,0,전공필수,간호학과,성인간호학I 금 9:30~10:55 / 13:00~14:25,박수경 김경해,3(3),금(1) 우정간호학관 201호 금(4-5) 우정간호학관 201호,금(1),우정간호학관,금(4-5),우정간호학관
54,간호대학,서울,NRSG274,0,전공선택,간호학과,성인간호학II 화 14:00~17:20,박수경 정선영,3(3),화(5) 우정간호학관 201호 화(6) 우정간호학관 201호,화(5),우정간호학관,화(6),우정간호학관
55,간호대학,서울,NRSG275,0,전공선택,간호학과,성인간호학III 수 13:00~16:10,김성렬 정선영,3(3),수(4-5) 우정간호학관 201호 수(6) 우정간호학관 201호,수(4-5),우정간호학관,수(6),우정간호학관
56,간호대학,서울,NRSG286,1,전공선택,간호학과,성인간호학실습II,김성렬,2(6),미정,미정,미정,,
57,간호대학,서울,NRSG286,2,전공선택,간호학과,성인간호학실습II,박수경 김경해,2(6),미정,미정,미정,,
58,선택교양,서울,FRAN134,0,교양,불어불문학과,프랑스문학탐색,유재화,3(3),화(6) 국제관423 목(6) 국제관423,화(6),국제관,목(6),국제관
59,선택교양,서울,FRAN135,0,교양,불어불문학과,프랑스역사와사회탐색,유재화,3(3),화(5) 법학관구관 206호 목(5) 법학관구관 206호,화(5),법학관구관,목(5),법학관구관
60,선택교양,서울,FRAN136,0,교양,불어불문학과,프랑스공연예술탐색,송태효,3(3),화(3-4) 법학관구관 206호 목(3-4) 법학관구관 206호,화(3-4),법학관구관,목(3-4),법학관구관
61,선택교양,서울,FRAN137,0,교양,불어불문학과,프랑스영화탐색,송태효,3(3),화(2) 법학관구관 B102호 목(2) 법학관구관 B102호,화(2),법학관구관,목(2),법학관구관
62,선택교양,서울,GEOG101,0,교양,지리교육과,도시와국토,손승호,2(2),목(3-4) 교육관 204호,목(3-4),운초우선교육관,,
63,선택교양,서울,GERM137,0,교양,독어독문학과,독일문학의탐색,송용구,3(3),월(6) 교양관 605호 수(6) 교양관 605호,월(6),교양관,수(6),교양관
64,선택교양,서울,GERM138,0,교양,독어독문학과,독일여성문학,송민정,3(3),월(2) 국제관423 금(2) 국제관423,월(2),국제관,금(2),국제관
65,선택교양,서울,GERM139,0,교양,독어독문학과,독일예술의이해,전휘원,3(3),화(6) 교양관 605호 목(6) 교양관 605호,화(6),교양관,목(6),교양관
66,선택교양,서울,GERM140,1,교양,독어독문학과,독일연극의이해,전휘원,2(2),화(7-8) 교양관 201호,화(7-8),교양관,,
67,사회의이해,서울,GESO155,0,교양,교양교육원,사랑의심리학,고영건,3(3),월(5) 교양관 602호 수(5) 교양관 602호,월(5),교양관,수(5),교양관
68,문학과예술,서울,GELA140,0,교양,교양교육원,동서양의사랑시,김재혁 손주경장성현 김종훈,3(3),월(6) 교양관 602호 수(6) 교양관 602호,월(6),교양관,수(6),교양관
69,글쓰기,서울,GEWR001,10,교양,교양교육원,글쓰기 2020학번 문과대(어문계열),정경미,2(3),화(3-4) 교양관 303호 목(3-4) 교양관 303호,화(3-4),교양관,목(3-4),교양관
70,글쓰기,서울,GEWR001,11,교양,교양교육원,글쓰기 2020학번 문과대(어문계열),박주원,2(3),화(5) 교양관 303호 목(5) 교양관 303호,화(5),교양관,목(5),교양관
71,글쓰기,서울,GEWR001,12,교양,교양교육원,글쓰기 2020학번 문과대(어문계열),류경동,2(3),화(6) 교양관 303호 목(6) 교양관 303호,화(6),교양관,목(6),교양관
72,글쓰기,서울,GEWR001,13,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,김종석,2(3),월(1) 교양관 305호 수(1) 교양관 305호,월(1),교양관,수(1),교양관
73,글쓰기,서울,GEWR001,14,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,곽승숙,2(3),월(1) 교양관 306호 수(1) 교양관 306호,월(1),교양관,수(1),교양관
74,글쓰기,서울,GEWR001,15,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,김영애,2(3),월(1) 교양관 309호 수(1) 교양관 309호,월(1),교양관,수(1),교양관
75,글쓰기,서울,GEWR001,16,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,조은숙,2(3),화(1) 교양관 111호 목(1) 교양관 111호,화(1),교양관,목(1),교양관
76,글쓰기,서울,GEWR001,17,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,강혜정,2(3),월(2) 교양관 306호 수(2) 교양관 306호,월(2),교양관,수(2),교양관
77,간호대학,서울,NRSG286,3,전공선택,간호학과,성인간호학실습II,정선영,2(6),미정,미정,미정,,
78,간호대학,서울,NRSG317,0,전공선택,간호학과,간호전문직과윤리 화 13:00~14:30 / 금 9:00~11:45,박진경,2(2),화(4-5) 우정간호학관 401호 금(1-2) 우정간호학관 401호,화(4-5),우정간호학관,금(1-2),우정간호학관
79,간호대학,서울,NRSG341,0,전공필수,간호학과,아동간호학I 수 9:30~11:45 / 목 11:10~12:00,오원옥,3(3),수(1-2) 우정간호학관 201호 목(3) 우정간호학관 201호,수(1-2),우정간호학관,목(3),우정간호학관
80,간호대학,서울,NRSG361,0,전공필수,간호학과,모성간호학I 화10:00~12:10 / 목 10:00~10:55,박영주,3(3),화(2-3) 우정간호학관 201호 목(2) 우정간호학관 201호,화(2-3),우정간호학관,목(2),우정간호학관
81,간호대학,서울,NRSG380,0,전공선택,간호학과,노인간호학 목 14:00~16:10,송준아,2(2),목(5-6) 우정간호학관 201호,목(5-6),우정간호학관,,
82,간호대학,서울,NRSG425,1,전공선택,간호학과,간호학실습입문,박수경,2(6),미정,미정,미정,,
83,간호대학,서울,NRSG425,2,전공선택,간호학과,간호학실습입문,천홍진,2(6),월(4-8),월(4-8),미정,,
84,간호대학,서울,NRSG425,3,전공선택,간호학과,간호학실습입문,김경해,2(6),미정,미정,미정,,
85,선택교양,서울,GERM140,2,교양,독어독문학과,독일연극의이해,이경미,2(2),수(3-4) 교양관 606호,수(3-4),교양관,,
86,선택교양,서울,GERM141,0,교양,독어독문학과,독일문화와종교,송용구,3(3),월(3-4) 교양관 605호 수(3-4) 교양관 605호,월(3-4),교양관,수(3-4),교양관
87,선택교양,서울,GERM142,0,교양,독어독문학과,독일예술과신화,이경미,3(3),월(5) 교양관 110호 금(5) 교양관 110호,월(5),교양관,금(5),교양관
88,선택교양,서울,GERM143,0,교양,독어독문학과,독일도시와문학,안철택,3(3),화(5) 법학관구관 207호 목(5) 법학관구관 207호,화(5),법학관구관,목(5),법학관구관
89,선택교양,서울,GERM144,0,교양,독어독문학과,독일소설과사회,송민정,3(3),월(3-4) 교양관 311호 수(3-4) 교양관 311호,월(3-4),교양관,수(3-4),교양관
90,선택교양,서울,HANM110,1,교양,한문학과,동양의지혜,김진경,3(3),화(6) 국제관 322호 목(6) 국제관 322호,화(6),국제관,목(6),국제관
91,선택교양,서울,HANM110,2,교양,한문학과,동양의지혜,김윤섭,3(3),월(3-4) 법학관구관 207호 수(3-4) 법학관구관 207호,월(3-4),법학관구관,수(3-4),법학관구관
92,선택교양,서울,HANM120,1,교양,한문학과,생활한자,권혁명,3(3),수(6) 교육관 102호 금(6) 교육관 102호,수(6),운초우선교육관,금(6),운초우선교육관
93,글쓰기,서울,GEWR001,18,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,김영애,2(3),월(2) 교양관 405호 수(2) 교양관 405호,월(2),교양관,수(2),교양관
94,글쓰기,서울,GEWR001,19,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,김연수,2(3),월(2) 교양관 310호 수(2) 교양관 310호,월(2),교양관,수(2),교양관
95,글쓰기,서울,GEWR001,20,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,김종석,2(3),월(3-4) 교양관 305호 수(3-4) 교양관 305호,월(3-4),교양관,수(3-4),교양관
96,글쓰기,서울,GEWR001,21,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,곽승숙,2(3),월(3-4) 교양관 306호 수(3-4) 교양관 306호,월(3-4),교양관,수(3-4),교양관
97,글쓰기,서울,GEWR001,22,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,김혜진,2(3),월(3-4) 교양관 309호 수(3-4) 교양관 309호,월(3-4),교양관,수(3-4),교양관
98,글쓰기,서울,GEWR001,23,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,강혜정,2(3),월(3-4) 교양관 310호 수(3-4) 교양관 310호,월(3-4),교양관,수(3-4),교양관
99,글쓰기,서울,GEWR001,24,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,박보현,2(3),월(3-4) 교양관 403호 수(3-4) 교양관 403호,월(3-4),교양관,수(3-4),교양관
100,글쓰기,서울,GEWR001,25,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,김종석,2(3),월(5) 교양관 306호 수(5) 교양관 306호,월(5),교양관,수(5),교양관
101,글쓰기,서울,GEWR001,26,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,곽승숙,2(3),월(5) 교양관 309호 수(5) 교양관 309호,월(5),교양관,수(5),교양관
102,간호대학,서울,NRSG435,1,전공선택,간호학과,아동간호학실습,오원옥,3(9),미정,미정,미정,,
103,간호대학,서울,NRSG435,2,전공선택,간호학과,아동간호학실습,박일태,3(9),월(1-7),월(1-7),미정,,
104,간호대학,서울,NRSG435,3,전공선택,간호학과,아동간호학실습,박일태,3(9),목(7-8) 금(3-8),목(7-8),미정,금(3-8),미정
105,간호대학,서울,NRSG441,0,전공선택,간호학과,정신간호학II 화 9:00~12:05 / 수 9:00~12:05,한금선,3(3),화(1-2) 우정간호학관 401호 수(1-2) 우정간호학관 401호,화(1-2),우정간호학관,수(1-2),우정간호학관
106,간호대학,서울,NRSG445,1,전공선택,간호학과,모성간호학실습,박영주,3(9),미정,미정,미정,,
107,간호대학,서울,NRSG445,2,전공선택,간호학과,모성간호학실습,신현정,3(9),미정,미정,미정,,
108,간호대학,서울,NRSG445,3,전공선택,간호학과,모성간호학실습,신현정,3(9),미정,미정,미정,,
109,간호대학,서울,NRSG465,0,전공선택,간호학과,지역사회간호학Ⅰ 수 13:00~16:40 / 목 9:00~11:45,추진아,3(3),수(4-6) 우정간호학관 401호 목(1-2) 우정간호학관 401호,수(4-6),우정간호학관,목(1-2),우정간호학관
110,정량적사고,서울,GEQR067,0,교양,교양교육원,하이퍼텍스트와계산가능성,박성빈,3(3),화(2) 법학관신관 501호 목(2) 법학관신관 501호,화(2),법학관신관,목(2),법학관신관
111,자유정의진리,서울,GELI001,1A,교양,교양교육원,자유정의진리Ⅰ  ,정상원,3(3),월(1)  수(1),월(1),미정,수(1),미정
112,전공관련교양(제2외국어),서울,IFLS125,1,교양,교양교육원,교양중국어초급(외국어강의),최신혜,3(5),화(2) 교양관 315호 수(3-4) 서관 223호,화(2),교양관,수(3-4),서관
113,전공관련교양(전공외국어),서울,IFLS250,1,교양,교양교육원,전공중국어Ⅰ(외국어강의),최신혜,3(3),월(6) 서관 316B호 수(6) 서관 316B호,월(6),서관,수(6),서관
114,전공관련교양,서울,ARCH203,0,교양,공과대학,건축학개론(영강) (남정민 교수) *건축학과만 수강*,남정민,3(3),수(5-6) 창의관 117호,수(5-6),창의관,,
115,역사의탐구,서울,GEHI016,0,교양,교양교육원,인물로본일본의역사,조명철,3(3),화(2) 교양관 605호 목(2) 교양관 605호,화(2),교양관,목(2),교양관
116,윤리와사상,서울,GECE010,0,교양,교양교육원,철학의이해,임홍빈,3(3),화(1) 본교대강당101 목(1) 본교대강당101,화(1),본교대강당,목(1),본교대강당
117,과학과기술,서울,GEST015,0,교양,교양교육원,생명의이해 일반생물학을 수강하는 학과 제외 생명과학대학(식품자원경제학과 제외)/보건과학대학(보건행정 제외)/의과대학/간호대학 수강 불가(단 재수강 학생은 제외),신정섭 박세호,3(3),화(2) 교양관 202호 목(2) 교양관 202호,화(2),교양관,목(2),교양관
118,선택교양,서울,HANM120,2,교양,한문학과,생활한자,박종우,3(3),월(2) 법학도서관 B101호 수(2) 법학도서관 B101호,월(2),법학도서관,수(2),법학도서관
119,선택교양,서울,HANM120,3,교양,한문학과,생활한자,박황희,3(3),월(3-4) 현차관 B206호 수(3-4) 현차관 B206호,월(3-4),현대자동차경영관,수(3-4),현대자동차경영관
120,선택교양,서울,HANM120,4,교양,한문학과,생활한자,김광섭,3(3),월(5) 법학관구관 B104호 수(5) 법학관구관 B104호,월(5),법학관구관,수(5),법학관구관
121,선택교양,서울,HANM120,5,교양,한문학과,생활한자,김광섭,3(3),월(6) 법학관신관 101호 수(6) 법학관신관 101호,월(6),법학관신관,수(6),법학관신관
122,선택교양,서울,HANM120,6,교양,한문학과,생활한자,김광년,3(3),월(7-8) 법학관구관 207호 수(7-8) 법학관구관 207호,월(7-8),법학관구관,수(7-8),법학관구관
123,선택교양,서울,HANM120,7,교양,한문학과,생활한자,양승이,3(3),화(1) 법학관구관 206호 목(1) 법학관구관 206호,화(1),법학관구관,목(1),법학관구관
124,선택교양,서울,HANM120,8,교양,한문학과,생활한자,구순옥,3(3),화(2) 교양관 201호 목(2) 교양관 201호,화(2),교양관,목(2),교양관
125,글쓰기,서울,GEWR001,27,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,김종석,2(3),월(6) 교양관 305호 수(6) 교양관 305호,월(6),교양관,수(6),교양관
126,글쓰기,서울,GEWR001,28,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,박보현,2(3),월(6) 교양관 306호 수(6) 교양관 306호,월(6),교양관,수(6),교양관
127,글쓰기,서울,GEWR001,29,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,김현주,2(3),월(6) 교양관 309호 수(6) 교양관 309호,월(6),교양관,수(6),교양관
128,글쓰기,서울,GEWR001,30,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,김연수,2(3),월(6) 교양관 310호 수(6) 교양관 310호,월(6),교양관,수(6),교양관
129,글쓰기,서울,GEWR001,31,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,김동희,2(3),월(6) 교양관 403호 수(6) 교양관 403호,월(6),교양관,수(6),교양관
130,글쓰기,서울,GEWR001,32,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,황정현,2(3),월(7-8) 교양관 403호 수(7-8) 교양관 403호,월(7-8),교양관,수(7-8),교양관
131,글쓰기,서울,GEWR001,33,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,김현주,2(3),월(7-8) 교양관 406호 수(7-8) 교양관 406호,월(7-8),교양관,수(7-8),교양관
132,글쓰기,서울,GEWR001,34,교양,교양교육원,글쓰기 2020학번 생명과학대 이과대 공과대(건사환제외) 간호대 의과대 보건과학대,곽승숙,2(3),월(7-8) 교양관 309호 수(7-8) 교양관 309호,월(7-8),교양관,수(7-8),교양관
133,정량적사고,서울,GEQR070,0,교양,교양교육원,수리소프트웨어의활용(영강),김홍중,3(3),화(1) 교양관 304호 목(1) 교양관 304호,화(1),교양관,목(1),교양관
134,정량적사고,서울,GEQR074,0,교양,교양교육원,서양음악의과학적이해(영강),정재호,3(3),월(5) 교양관 311호 수(5) 교양관 311호,월(5),교양관,수(5),교양관
135,자유정의진리,서울,GELI001,1B,교양,교양교육원,자유정의진리Ⅰ  ,정상원,3(3),월(2)  수(2),월(2),미정,수(2),미정
136,자유정의진리,서울,GELI001,1C,교양,교양교육원,자유정의진리Ⅰ  ,이경동,3(3),월(3-4)  수(3-4),월(3-4),미정,수(3-4),미정
137,자유정의진리,서울,GELI001,1D,교양,교양교육원,자유정의진리Ⅰ  ,이경동,3(3),월(5)  수(5),월(5),미정,수(5),미정
138,자유정의진리,서울,GELI001,1E,교양,교양교육원,자유정의진리Ⅰ  ,이춘희,3(3),월(6)  수(6),월(6),미정,수(6),미정
139,자유정의진리,서울,GELI001,1F,교양,교양교육원,자유정의진리Ⅰ  ,이춘희,3(3),월(7-8)  수(7-8),월(7-8),미정,수(7-8),미정
140,자유정의진리,서울,GELI001,1G,교양,교양교육원,자유정의진리Ⅰ  ,안성진,3(3),화(1)  목(1),화(1),미정,목(1),미정
141,자유정의진리,서울,GELI001,1H,교양,교양교육원,자유정의진리Ⅰ  ,안성진,3(3),화(2)  목(2),화(2),미정,목(2),미정
142,전공관련교양(제2외국어),서울,IFLS125,2,교양,교양교육원,교양중국어초급(외국어강의),김윤수,3(5),월(3-4) 서관 223호 화(2) 법학도서관 B101호,월(3-4),서관,화(2),법학도서관
143,전공관련교양(제2외국어),서울,IFLS125,3,교양,교양교육원,교양중국어초급(외국어강의),손유디,3(5),화(1) 국제관 318호 수(3-4) 국제관 318호,화(1),국제관,수(3-4),국제관
144,전공관련교양(제2외국어),서울,IFLS125,4,교양,교양교육원,교양중국어초급(외국어강의),김은주,3(5),월(5) CJ법학관 315호 화(7-8) 법학관신관 208호,월(5),CJ법학관,화(7-8),법학관신관
145,전공관련교양(제2외국어),서울,IFLS125,5,교양,교양교육원,교양중국어초급(외국어강의),김미라,3(5),화(3-4) 교양관 304호 수(1) 교양관 304호,화(3-4),교양관,수(1),교양관
146,전공관련교양(제2외국어),서울,IFLS125,6,교양,교양교육원,교양중국어초급(외국어강의),권혜진,3(5),월(2) 사대신관 223호 수(2) 사대신관 223호,월(2),사범대학신관,수(2),사범대학신관
147,전공관련교양(제2외국어),서울,IFLS125,7,교양,교양교육원,교양중국어초급(외국어강의),노선아,3(5),월(1) 사대신관 321호 수(1) 사대신관 321호,월(1),사범대학신관,수(1),사범대학신관
148,전공관련교양(제2외국어),서울,IFLS125,8,교양,교양교육원,교양중국어초급(외국어강의),정지수,3(5),월(5) 교양관 208호 화(7-8) 교양관 204호,월(5),교양관,화(7-8),교양관
