id,college,campus,code,class_num,seperate,major,class_name,prof,grade,day_place,day_1,place_1,day_2,place_2
1065,생명과학대학,서울,LIST303,2,학부공통,생명과학대학,유전학Ⅰ  ,안지훈,3(3),화(5) 하나과학관 109호 목(5) 하나과학관 109호,화(5),하나과학관,목(5),하나과학관
1066,생명과학대학,서울,LIST303,3,학부공통,생명과학대학,유전학Ⅰ,김욱,3(3),화(3-4) 생명과학관(서관) 401호 목(3-4) 생명과학관(서관) 401호,화(3-4),생명과학관서관,목(3-4),생명과학관서관
1067,생명과학대학,서울,LIST304,0,학부공통,생명과학대학,유전학Ⅱ(영강),김지형,3(3),화(5) 생명과학관(동관)102호 목(5) 생명과학관(동관)102호,화(5),생명과학관동관,목(5),생명과학관동관
1068,생명과학대학,서울,LIST305,1,학부공통,생명과학대학,생화학Ⅰ(영강) (수업시간:12:00~13:15),김준 우재성,3(3),월(3-4) 하나과학관 지하 131호 수(3-4) 하나과학관 지하 131호,월(3-4),하나과학관,수(3-4),하나과학관
1069,생명과학대학,서울,LIST305,2,학부공통,생명과학대학,생화학Ⅰ,구승회 최무현,3(3),월(6) 하나과학관 지하 111호 수(6) 하나과학관 지하 111호,월(6),하나과학관,수(6),하나과학관
1070,생명과학대학,서울,LIST305,3,학부공통,생명과학대학,생화학Ⅰ,이병천,3(3),월(6) 생명과학관(동관)107 호 수(6) 생명과학관(동관)107 호,월(6),생명과학관동관,수(6),생명과학관동관
1071,1학년세미나,서울,GEKS005,C1,교양,교양교육원,1학년세미나Ⅰ 국어국문학과,정우봉,1(1),미정,미정,미정,,
1072,1학년세미나,서울,GEKS005,C2,교양,교양교육원,1학년세미나Ⅰ 국어국문학과,최호철,1(1),미정,미정,미정,,
1073,1학년세미나,서울,GEKS005,C3,교양,교양교육원,1학년세미나Ⅰ 국어국문학과,강헌국,1(1),미정,미정,미정,,
1074,1학년세미나,서울,GEKS005,C4,교양,교양교육원,1학년세미나Ⅰ 국어국문학과,이형대,1(1),미정,미정,미정,,
1075,1학년세미나,서울,GEKS005,C5,교양,교양교육원,1학년세미나Ⅰ 국어국문학과,김정숙,1(1),미정,미정,미정,,
1076,1학년세미나,서울,GEKS005,C6,교양,교양교육원,1학년세미나Ⅰ 국어국문학과,이상우,1(1),미정,미정,미정,,
1077,1학년세미나,서울,GEKS005,C7,교양,교양교육원,1학년세미나Ⅰ 국어국문학과,장경준,1(1),미정,미정,미정,,
1078,1학년세미나,서울,GEKS005,C8,교양,교양교육원,1학년세미나Ⅰ 국어국문학과,권보드래,1(1),미정,미정,미정,,
1079,의과대학,서울,MEDI302,0,전공필수,의학과,소화기내과학임상실습,금보라 김승영이영선,2(4),미정,미정,미정,,
1080,의과대학,서울,MEDI303,0,전공필수,의학과,호흡기내과학임상실습,이영석 김병근이승룡,2(4),미정,미정,미정,,
1081,의과대학,서울,MEDI304,0,전공필수,의학과,혈액종양내과학임상실습,성화정 김대식최윤지,2(4),미정,미정,미정,,
1082,의과대학,서울,MEDI305,0,전공필수,의학과,신장내과학임상실습,조원용 고강지차진주 오세원,2(4),미정,미정,미정,,
1083,의과대학,서울,MEDI306,0,전공필수,의학과,감염내과학임상실습,손장욱 송준영최원석 윤영경,2(4),미정,미정,미정,,
1084,의과대학,서울,MEDI307,0,전공필수,의학과,내분비내과학임상실습,서지아 류혜진김경진,2(4),미정,미정,미정,,
1085,의과대학,서울,MEDI313,0,전공필수,의학과,가정의학임상실습,조경환 김선미김도훈,2(4),미정,미정,미정,,
1086,의과대학,서울,MEDI317,0,전공필수,의학과,영상의학임상실습,이창희 염석규유인선 송성은,2(4),미정,미정,미정,,
1087,의과대학,서울,MEDI329,0,전공필수,의학과,임상종합평가I,임형은,1(1),의대 제3강의실,미정,의대,,
1088,ACADEMIC ENGLISH,서울,IFLS011,88,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 중급/공과대학 정보보호학부(2020학번 신입생 우선 신청),Youn-Soo Chang,1(2),화(3) 국제관 307A호 목(3) 국제관 307A호,화(3),국제관,목(3),국제관
1089,ACADEMIC ENGLISH,서울,IFLS011,89,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 중급/공과대학 정보보호학부(2020학번 신입생 우선 신청),월쉬널래그첸드라베단,1(2),화(3) 국제관 225호 목(3) 국제관 225호,화(3),국제관,목(3),국제관
1090,ACADEMIC ENGLISH,서울,IFLS011,90,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 중급/공과대학 정보보호학부(2020학번 신입생 우선 신청),월쉬널래그첸드라베단,1(2),화(4) 국제관 225호 목(4) 국제관 225호,화(4),국제관,목(4),국제관
1091,ACADEMIC ENGLISH,서울,IFLS011,91,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 중급/공과대학 정보보호학부(2020학번 신입생 우선 신청),William du Plessis,1(2),월(2) 국제관 412호 수(2) 국제관 412호,월(2),국제관,수(2),국제관
1092,ACADEMIC ENGLISH,서울,IFLS011,92,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 중급/공과대학 정보보호학부(2020학번 신입생 우선 신청),William du Plessis,1(2),월(3) 국제관 412호 수(3) 국제관 412호,월(3),국제관,수(3),국제관
1093,ACADEMIC ENGLISH,서울,IFLS011,93,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 중급/공과대학 정보보호학부(2020학번 신입생 우선 신청),William du Plessis,1(2),화(2) 국제관 112호 목(2) 국제관 112호,화(2),국제관,목(2),국제관
1094,ACADEMIC ENGLISH,서울,IFLS011,94,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 중급/공과대학 정보보호학부(2020학번 신입생 우선 신청),William du Plessis,1(2),화(5) 국제관 112호 목(5) 국제관 112호,화(5),국제관,목(5),국제관
